Date,LastOpen,LastHigh,LastLow,Close,Adj Close,Volume
737333,21.280001,21.700001,21.129999,23.040001,23.040001,6803200
737334,21.549999,23.299999,21.51,23.58,23.58,4123200
737335,23.780001,23.98,23.257999,23.26,23.26,5373400
737336,24.1,24.17,22.757999,26.34,26.34,11637500
737337,23.66,26.719999,23.16,24.99,24.99,7705200
737340,26.02,26.219999,24.52,25.459999,25.459999,8481200
737341,25.889999,26.17,24.83,26.549999,26.549999,9339300
737342,25.76,27.549999,25.76,27.530001,27.530001,7957300
737343,27.549999,28.16,27.059999,27.76,27.76,6367200
737344,27.440001,28.540001,27.360001,28.690001,28.690001,5147000
737348,28.280001,28.950001,27.83,27.129999,27.129999,11429100
737349,29,29.004999,26.646,27.719999,27.719999,3682500
737350,27.370001,27.950001,27.370001,27.940001,27.940001,4955200
737351,27.98,28.413,27,26.879999,26.879999,5892300
737354,27.99,27.99,26.719999,26.92,26.92,6715300
737355,25.705,27.142,25.280001,26.719999,26.719999,8947200
737356,27.6,27.98,26.580999,27.57,27.57,11267300
737357,27.6,29.280001,27.07,26.629999,26.629999,5991100
737358,27,27.290001,25.754999,25.68,25.68,8608400
737362,25.5,26.15,24.559999,27.23,27.23,6444500
737363,26.48,27.25,25.860001,26.24,26.24,5497100
737364,27.42,27.57,25.85,27.549999,27.549999,4342800
737365,26.77,27.57,26.719999,28.110001,28.110001,5839200
737366,27.110001,28.27,27.07,26.68,26.68,6600700
737369,27.25,27.870001,25.93,25.120001,25.120001,6248200
737370,24.76,25.98,23.700001,26,26,4025300
737371,26.209999,26.6,25.115,25.67,25.67,4800500
737372,25.450001,26.709999,25.16,23.799999,23.799999,8105200
737373,23.98,24.25,22.84,23.370001,23.370001,6556800
737376,25,25.4,22.23,22.16,22.16,4817700
737377,21.110001,23.16,20,24.35,24.35,7198800
737378,23.049999,24.76,21.295,21.01,21.01,13855400
737379,22.040001,23.9,19.25,20.84,20.84,7021900
737380,21.299999,21.950001,20,20.190001,20.190001,5957000
737383,21.799999,21.93,20,20.26,20.26,5392500
737384,20,20.559999,19.450001,22.200001,22.200001,7557700
737385,21.35,22.815001,21.129999,22.870001,22.870001,6298100
737386,22.620001,23.98,22.5,23.040001,23.040001,3560800
737387,23.07,23.84,22.66,22.110001,22.110001,3315400
737390,22.17,22.799999,22.049999,22.959999,22.959999,3996300
737391,22.4,23.25,22.15,23.42,23.42,5230200
737391,22.91,24.75,22.51,24.059999,24.059999,3789900
737392,23.110001,24.85,23.110001,24.42,24.42,4885000
737393,23.98,24.58,23.24,24.110001,24.110001,3329300
737396,24.309999,24.700001,23.610001,25.559999,25.559999,3811900
737397,24.91,25.584999,24.719999,26.49,26.49,5859400
737398,26.110001,26.9,25.540001,26.200001,26.200001,5526400
737399,25.84,26.5,24.4,26.83,26.83,10328500
737403,27.85,29.74,26.299999,26.209999,26.209999,5070400
737404,27.030001,27.120001,25.809999,27.48,27.48,6749700
737405,27,27.870001,26.790001,28.1,28.1,3114800
737406,27,28.450001,26.82,28.780001,28.780001,4294300
737407,28.379999,29.42,28.045,29,29,4889200
737410,29.299999,29.700001,28.370001,29.68,29.68,4052100
